unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1743440400,2025-03-31 17:00:00,BTC/USD,83285,83535,82569,82675,97.69418706,8076866.9151855
1743436800,2025-03-31 16:00:00,BTC/USD,83404,83695,83248,83289,21.14728915,1761336.56601435
1743433200,2025-03-31 15:00:00,BTC/USD,83495,83914,83387,83404,43.35887074,3616303.25519896
1743429600,2025-03-31 14:00:00,BTC/USD,82494,83737,82494,83471,250.95074137,20947109.33289527
1743426000,2025-03-31 13:00:00,BTC/USD,82762,82859,81646,82480,280.61463225,23145094.86798
1743422400,2025-03-31 12:00:00,BTC/USD,82187,83117,81905,82772,89.92255991,7443070.128870521
1743418800,2025-03-31 11:00:00,BTC/USD,82161,82246,81879,82197,32.12107829,2640256.27220313
1743415200,2025-03-31 10:00:00,BTC/USD,81430,82190,81305,82185,82.05553376,6743734.0420656
1743411600,2025-03-31 09:00:00,BTC/USD,81886,81948,81326,81440,42.02064312,3422161.1756928004
1743408000,2025-03-31 08:00:00,BTC/USD,81923,82229,81878,81886,21.94627753,1797092.88182158
1743404400,2025-03-31 07:00:00,BTC/USD,82037,82279,81747,81925,79.98001680,6552362.87634
1743400800,2025-03-31 06:00:00,BTC/USD,82156,82242,81912,82038,20.54882564,1685784.55785432
1743397200,2025-03-31 05:00:00,BTC/USD,81841,82278,81838,82154,50.91956506,4183245.94793924
1743393600,2025-03-31 04:00:00,BTC/USD,81508,81852,81405,81842,10.49311216,858777.2853987201
1743390000,2025-03-31 03:00:00,BTC/USD,81913,82024,81466,81502,35.55165421,2897530.9214234203
1743386400,2025-03-31 02:00:00,BTC/USD,81955,82121,81639,81911,49.18797952,4029036.59046272
1743382800,2025-03-31 01:00:00,BTC/USD,81618,82239,81549,81975,69.58731163,5704419.87086925
1743379200,2025-03-31 00:00:00,BTC/USD,82367,82417,81287,81591,75.66872573,6173887.001036431
1743375600,2025-03-30 23:00:00,BTC/USD,82404,82404,81935,82359,50.98024286,4198681.82170674
1743372000,2025-03-30 22:00:00,BTC/USD,82221,82723,81551,82363,137.64623841,11336957.13416283
1743368400,2025-03-30 21:00:00,BTC/USD,82601,82671,82062,82239,47.94812739,3943206.0484262104
1743364800,2025-03-30 20:00:00,BTC/USD,82538,82622,82388,82531,8.25157693,681010.89560983
1743361200,2025-03-30 19:00:00,BTC/USD,82688,82851,82527,82538,20.54327942,1695601.19676796
1743357600,2025-03-30 18:00:00,BTC/USD,82389,82750,82389,82688,55.85540898,4618572.05773824
1743354000,2025-03-30 17:00:00,BTC/USD,82277,82510,82051,82389,66.58358888,5485755.304234319
1743350400,2025-03-30 16:00:00,BTC/USD,82709,82778,82176,82277,57.90332340,4764111.7393817995
1743346800,2025-03-30 15:00:00,BTC/USD,82782,83033,82703,82706,5.89181521,487288.46875826
1743343200,2025-03-30 14:00:00,BTC/USD,82664,83000,82606,82782,7.97605981,660274.1831914199
1743339600,2025-03-30 13:00:00,BTC/USD,83043,83130,82565,82674,63.54993012,5253926.9227408795
1743336000,2025-03-30 12:00:00,BTC/USD,83102,83222,82974,83039,34.93044933,2900589.5819138703
1743332400,2025-03-30 11:00:00,BTC/USD,83099,83315,82978,83097,39.62390542,3292627.66868574
1743328800,2025-03-30 10:00:00,BTC/USD,83474,83500,83057,83100,25.69951673,2135629.8402629998
1743325200,2025-03-30 09:00:00,BTC/USD,83359,83499,83233,83473,10.20631343,851951.60094239
1743321600,2025-03-30 08:00:00,BTC/USD,83054,83362,83054,83351,17.49751229,1458435.14688379
1743318000,2025-03-30 07:00:00,BTC/USD,83164,83282,83053,83054,15.60062979,1295694.7065786598
1743314400,2025-03-30 06:00:00,BTC/USD,82934,83252,82853,83164,25.92879614,2156342.40218696
1743310800,2025-03-30 05:00:00,BTC/USD,83083,83205,82913,82932,22.27634146,1847421.5499607201
1743307200,2025-03-30 04:00:00,BTC/USD,83078,83279,83058,83083,16.40137521,1362675.4565724302
1743303600,2025-03-30 03:00:00,BTC/USD,83312,83462,83042,83080,35.52445645,2951371.841866
1743300000,2025-03-30 02:00:00,BTC/USD,82923,83332,82915,83312,30.69229485,2557036.4685432
1743296400,2025-03-30 01:00:00,BTC/USD,82769,83032,82735,82925,26.98321372,2237582.9977309997
1743292800,2025-03-30 00:00:00,BTC/USD,82608,82835,82479,82770,15.88823846,1315069.4973342
1743289200,2025-03-29 23:00:00,BTC/USD,82369,82645,82309,82608,6.08894860,502995.8659488
1743285600,2025-03-29 22:00:00,BTC/USD,82468,82488,82242,82370,4.21808660,347443.79324200004
1743282000,2025-03-29 21:00:00,BTC/USD,82511,82650,82347,82467,3.91165822,322582.71842874
1743278400,2025-03-29 20:00:00,BTC/USD,82722,82731,82402,82465,9.71137358,800848.4222747
1743274800,2025-03-29 19:00:00,BTC/USD,82324,82700,82196,82700,18.36481651,1518770.325377
1743271200,2025-03-29 18:00:00,BTC/USD,82303,82648,82193,82329,32.02870144,2636890.96085376
1743267600,2025-03-29 17:00:00,BTC/USD,82162,82575,81629,82304,122.57442944,10088365.84062976
1743264000,2025-03-29 16:00:00,BTC/USD,82389,82636,82155,82161,71.66328089,5887926.82120329
1743260400,2025-03-29 15:00:00,BTC/USD,82471,82599,82358,82388,8.33240273,686489.99611924
1743256800,2025-03-29 14:00:00,BTC/USD,82792,82833,82425,82471,13.28602639,1095711.88240969
1743253200,2025-03-29 13:00:00,BTC/USD,82418,82813,82417,82792,29.01788405,2402448.6562676
1743249600,2025-03-29 12:00:00,BTC/USD,82260,82447,82108,82418,49.30567983,4063675.52022894
1743246000,2025-03-29 11:00:00,BTC/USD,82890,83062,81983,82256,77.29473681,6357955.87104336
1743242400,2025-03-29 10:00:00,BTC/USD,83517,83517,82794,82872,84.15062608,6973730.68450176
1743238800,2025-03-29 09:00:00,BTC/USD,83890,83904,83192,83519,51.75042781,4322143.98026339
1743235200,2025-03-29 08:00:00,BTC/USD,83707,83902,83641,83892,7.27716003,610495.50923676
1743231600,2025-03-29 07:00:00,BTC/USD,83770,83848,83633,83707,4.02796750,337169.0755225
1743228000,2025-03-29 06:00:00,BTC/USD,83993,83993,83632,83770,14.74074592,1234832.2857184
1743224400,2025-03-29 05:00:00,BTC/USD,84041,84058,83833,83993,29.69392711,2494082.01975023
1743220800,2025-03-29 04:00:00,BTC/USD,84138,84226,83954,84041,10.23160043,859873.93173763
1743217200,2025-03-29 03:00:00,BTC/USD,83830,84206,83692,84138,40.17048459,3379864.23243342
1743213600,2025-03-29 02:00:00,BTC/USD,84265,84390,83801,83831,21.15635244,1773558.18139764
1743210000,2025-03-29 01:00:00,BTC/USD,84359,84467,84186,84256,23.87970615,2012008.5213744
1743206400,2025-03-29 00:00:00,BTC/USD,84384,84561,84307,84345,12.51643045,1055698.32630525
1743202800,2025-03-28 23:00:00,BTC/USD,84419,84478,84151,84379,9.87015743,832834.01378597
1743199200,2025-03-28 22:00:00,BTC/USD,84000,84419,83999,84419,43.63005657,3683205.74558283
1743195600,2025-03-28 21:00:00,BTC/USD,83756,84045,83648,84000,13.47903171,1132238.66364
1743192000,2025-03-28 20:00:00,BTC/USD,83719,84045,83670,83753,64.78227225,5425709.64775425
1743188400,2025-03-28 19:00:00,BTC/USD,83800,83818,83573,83714,163.55640075,13691960.5323855
1743184800,2025-03-28 18:00:00,BTC/USD,83940,84094,83668,83800,48.65860778,4077591.3319639997
