Date,Close/Last,Volume,Open,High,Low
04/04/2025,41.09,258026700,45.99,46.78,41.03
04/03/2025,50.30,140115700,52.43,53.83,50.11
04/02/2025,59.93,123087400,56.19,61.20,56.09
04/01/2025,58.62,97098170,56.68,58.9901,55.62
03/31/2025,57.30,106854500,54.72,57.628,53.04
03/28/2025,57.34,103632100,61.54,61.81,56.97
03/27/2025,62.30,72368040,62.60,64.23,61.75
03/26/2025,63.38,79567690,66.64,66.99,62.76
03/25/2025,67.31,55569700,66.48,67.3701,66.09
03/24/2025,66.13,63411500,65.06,66.53,64.815
03/21/2025,62.18,80490980,59.53,62.415,59.0727
03/20/2025,61.60,88409060,60.66,63.63,60.37
03/19/2025,62.24,92593160,60.68,63.91,59.94
03/18/2025,59.91,87826230,61.77,61.78,59.01
03/17/2025,63.09,90150370,61.88,64.2799,61.15
03/14/2025,61.89,99108540,59.71,62.23,59.50
03/13/2025,57.79,121227300,60.80,60.85,57.04
03/12/2025,61.13,141918600,61.94,62.66,59.16
03/11/2025,59.11,139489300,59.40,61.85,57.3707
03/10/2025,59.81,156135800,64.00,64.19,57.88
03/07/2025,67.41,135177300,65.56,68.01,62.89
03/06/2025,66.04,122822700,68.39,70.4962,65.1716
03/05/2025,72.01,100633300,69.55,72.685,67.49
03/04/2025,69.31,130836900,68.76,72.77,66.01
03/03/2025,70.08,91945840,76.37,77.05,68.435
02/28/2025,74.92,93178970,71.46,75.17,70.075
02/27/2025,71.64,103375500,79.72,80.17,71.48
02/26/2025,78.12,63175730,78.58,80.4499,76.69
02/25/2025,77.62,75597230,80.33,80.38,75.78
02/24/2025,80.70,53233730,84.50,85.05,80.50
02/21/2025,83.71,59313610,89.77,89.79,83.47
02/20/2025,89.30,40133030,90.05,90.23,86.89
02/19/2025,90.40,34257890,90.00,91.12,88.92
02/18/2025,90.39,34412580,90.63,90.75,88.75
02/14/2025,89.83,38028740,88.81,90.18,88.60
02/13/2025,88.79,46460080,85.98,88.955,85.58
02/12/2025,85.20,48493300,82.28,85.605,82.10
02/11/2025,85.03,31301400,84.07,85.99,84.01
02/10/2025,85.64,32797060,84.73,86.20,84.50
02/07/2025,82.73,55435240,86.26,87.19,82.3513
02/06/2025,86.01,38215510,84.96,86.13,84.1948
02/05/2025,84.74,39847430,82.35,84.82,81.76
02/04/2025,83.65,42317270,80.91,83.938,80.73
02/03/2025,80.72,76628490,78.53,81.99,77.34
01/31/2025,82.72,59334630,84.92,87.09,82.18
01/30/2025,83.17,57585510,83.47,84.585,80.86
01/29/2025,82.14,59240550,82.91,82.98,80.26
01/28/2025,82.65,50516700,79.58,83.1699,78.00
01/27/2025,79.14,80910840,77.58,81.03,77.18
01/24/2025,86.75,36239630,88.43,88.83,86.01
01/23/2025,88.34,30240480,86.54,88.38,86.27
01/22/2025,87.80,43132660,86.84,88.91,86.71
01/21/2025,84.52,41725900,84.45,85.15,82.3305
01/17/2025,83.14,43676080,83.69,83.94,81.84
01/16/2025,79.23,46527720,82.01,82.05,79.20
01/15/2025,80.88,53459580,79.31,81.475,78.60
01/14/2025,75.76,62635450,77.48,78.06,74.1909
01/13/2025,76.03,56691010,74.05,76.20,73.34
01/10/2025,76.83,72825830,78.80,78.82,75.23
01/08/2025,80.68,48010620,80.56,81.41,78.44
01/07/2025,80.62,55510480,85.72,85.89,79.705
01/06/2025,85.21,46025000,84.97,86.85,84.03
01/03/2025,82.40,46215780,79.99,82.91,79.62
01/02/2025,78.63,70685330,80.54,81.605,76.531
12/31/2024,79.13,52588840,81.80,82.1599,78.68
12/30/2024,81.26,51422030,81.20,83.06,79.4125
12/27/2024,84.66,51069490,86.37,86.585,82.28
