timestamp,open,high,low,close,volumefrom,volumeto
2025-04-02 02:04:00,85104.43,85127.41,85087.69,85091.39,5.564,473502.83
2025-04-02 02:05:00,85091.39,85091.9,85033.46,85036.05,6.827,580673.86
2025-04-02 02:06:00,85036.05,85058.02,85010.42,85011.47,11.02,937252.29
2025-04-02 02:07:00,85011.47,85013.23,84986.54,84986.54,20.69,1758563.73
2025-04-02 02:08:00,84986.54,85004.82,84982.39,84985.08,10.61,901716.29
2025-04-02 02:09:00,84985.08,84987.5,84902.07,84902.07,14.52,1233028.2
2025-04-02 02:10:00,84902.07,84902.64,84664.96,84686.89,70.86,6008413.01
2025-04-02 02:11:00,84686.89,84737.38,84681.66,84709.21,14.76,1250372.0
2025-04-02 02:12:00,84709.21,84755.79,84689.59,84748.62,17.79,1506763.9
2025-04-02 02:13:00,84748.62,84768.63,84726.94,84762.13,13.64,1156356.29
2025-04-02 02:14:00,84762.13,84796.95,84734.75,84748.58,7.959,674596.34
2025-04-02 02:15:00,84748.58,84749.38,84668.76,84701.1,16.98,1438186.3
2025-04-02 02:16:00,84701.1,84845.32,84701.1,84839.27,25.48,2160021.29
2025-04-02 02:17:00,84839.27,84849.45,84795.82,84825.56,23.57,1999550.88
2025-04-02 02:18:00,84825.56,84859.5,84808.41,84856.86,7.538,639517.16
2025-04-02 02:19:00,84856.86,84858.96,84756.74,84765.63,9.941,843041.92
2025-04-02 02:20:00,84765.63,84775.09,84690.83,84701.86,16.34,1384309.93
2025-04-02 02:21:00,84701.86,84722.14,84688.23,84703.19,8.405,711920.43
2025-04-02 02:22:00,84703.19,84736.27,84691.33,84725.35,9.047,766343.86
2025-04-02 02:23:00,84725.35,84751.32,84719.17,84748.85,5.894,499423.09
2025-04-02 02:24:00,84748.85,84799.53,84730.11,84799.53,10.52,891631.11
2025-04-02 02:25:00,84799.53,84830.98,84783.82,84799.37,16.06,1361711.09
2025-04-02 02:26:00,84799.37,84805.06,84769.67,84804.19,9.565,810947.63
2025-04-02 02:27:00,84804.19,84829.14,84792.24,84824.6,5.472,464054.89
2025-04-02 02:28:00,84824.6,84832.8,84787.04,84791.8,5.778,489981.8
2025-04-02 02:29:00,84791.8,84807.01,84784.75,84801.47,5.415,459200.08
2025-04-02 02:30:00,84801.47,84864.57,84790.13,84863.31,12.86,1090911.65
2025-04-02 02:31:00,84863.31,84885.09,84861.8,84865.01,8.094,686977.98
2025-04-02 02:32:00,84865.01,84875.82,84842.6,84875.82,8.79,745907.38
2025-04-02 02:33:00,84875.82,84886.71,84869.45,84869.96,3.643,309246.16
2025-04-02 02:34:00,84869.96,84869.96,84797.88,84810.79,9.319,790476.18
2025-04-02 02:35:00,84810.79,84816.61,84752.77,84759.25,4.579,388208.07
2025-04-02 02:36:00,84759.25,84771.58,84689.44,84694.14,17.08,1446944.34
2025-04-02 02:37:00,84694.14,84704.93,84686.28,84697.03,11.03,934355.89
2025-04-02 02:38:00,84697.03,84745.5,84695.74,84745.33,8.493,719459.99
2025-04-02 02:39:00,84745.33,84746.16,84721.19,84721.21,3.916,331826.6
2025-04-02 02:40:00,84721.21,84730.83,84707.69,84726.79,8.747,740956.17
2025-04-02 02:41:00,84726.79,84744.85,84671.12,84671.12,12.08,1022948.57
2025-04-02 02:42:00,84671.12,84691.81,84649.62,84691.81,10.07,852661.79
2025-04-02 02:43:00,84691.81,84704.21,84667.5,84676.05,8.619,729908.04
2025-04-02 02:44:00,84676.05,84691.12,84661.92,84670.62,9.092,769863.48
2025-04-02 02:45:00,84670.62,84763.28,84669.62,84762.63,7.895,668822.72
2025-04-02 02:46:00,84762.63,84798.69,84746.84,84767.31,6.223,527507.54
2025-04-02 02:47:00,84767.31,84768.36,84719.27,84719.27,3.698,313324.56
2025-04-02 02:48:00,84719.27,84721.22,84699.32,84703.18,8.234,697614.43
2025-04-02 02:49:00,84703.18,84705.81,84666.59,84674.91,5.559,470754.87
2025-04-02 02:50:00,84674.91,84725.64,84674.47,84721.98,6.213,526212.33
2025-04-02 02:51:00,84721.98,84744.78,84721.71,84742.17,5.214,441776.73
2025-04-02 02:52:00,84742.17,84768.89,84732.93,84768.89,3.991,338202.02
2025-04-02 02:53:00,84768.89,84774.61,84761.0,84768.03,5.36,454405.99
2025-04-02 02:54:00,84768.03,84858.66,84768.03,84834.98,10.16,862288.22
2025-04-02 02:55:00,84834.98,84834.98,84757.32,84757.32,5.497,466141.56
2025-04-02 02:56:00,84757.32,84758.76,84743.02,84751.35,5.05,427949.2
